network_state,fault_type,fault_location,healing_time,success_rate,throughput_before,throughput_after,latency_before,latency_after,action_taken
"normal",none,none,0,1.0,100,100,10,10,"maintain"
"degraded","node_down",5,15,0.9,100,85,10,15,"reroute_traffic"
"degraded","link_down","5-6",12,0.95,100,90,10,12,"activate_backup_link"
"critical","cascading_failure","multiple",45,0.7,100,60,10,25,"emergency_reroute"
"degraded","congestion",3,8,0.98,100,95,10,18,"load_balance"
"normal","packet_loss","random",5,0.99,100,98,10,11,"error_correction"
"degraded","node_down",8,20,0.85,100,80,10,20,"cluster_reroute"
"critical","link_down","8-9",25,0.8,100,75,10,22,"backup_activation"
"degraded","congestion",12,10,0.92,100,88,10,16,"traffic_shaping"
"normal","none",none,0,1.0,100,100,10,10,"maintain"
"degraded","node_down",1,18,0.88,100,82,10,18,"primary_reroute"
"critical","cascading_failure","6-7-8",50,0.65,100,55,10,30,"full_reroute"
"degraded","link_down","3-4",14,0.93,100,87,10,14,"secondary_path"
"normal","packet_loss","edge",3,1.0,100,99,10,10,"retransmission"
"degraded","congestion",7,12,0.9,100,86,10,19,"qos_adjustment"
